[2025-10-21 22:11:23] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 22:11:23] mask_ratio=0.75, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 22:11:38] [20251021221123] Epoch: 0, train loss positive: 318.4415, train loss negative: 2586.7511, val acc: 1.0000, all_100_18802948.0_1.0_0.0
[2025-10-21 22:14:46] [20251021221123] Epoch: 17, train loss positive: 178.5503, train loss negative: 3127.5237, val acc: 1.0000, all_100_22741484.0_1.0_0.0
[2025-10-21 22:14:57] [20251021221123] Epoch: 18, train loss positive: 176.2412, train loss negative: 2669.5475, val acc: 1.0000, all_100_32951228.0_1.0_0.0
[2025-10-21 22:15:07] [20251021221123] Epoch: 19, train loss positive: 174.5172, train loss negative: 3698.1968, val acc: 1.0000, all_100_48302508.0_1.0_0.0
[2025-10-21 22:15:18] [20251021221123] Epoch: 20, train loss positive: 173.8588, train loss negative: 5113.4206, val acc: 1.0000, all_100_139967600.0_1.0_0.0
[2025-10-21 22:15:29] [20251021221123] Epoch: 21, train loss positive: 173.5981, train loss negative: 5595.5040, val acc: 1.0000, all_100_20654848.0_1.0_0.0
[2025-10-21 22:15:40] [20251021221123] Epoch: 22, train loss positive: 171.6379, train loss negative: 7886.6938, val acc: 1.0000, all_100_30755886.0_1.0_0.0
[2025-10-21 22:15:51] [20251021221123] Epoch: 23, train loss positive: 170.2257, train loss negative: 3872.4439, val acc: 1.0000, all_100_37735660.0_1.0_0.0
[2025-10-21 22:16:02] [20251021221123] Epoch: 24, train loss positive: 169.5612, train loss negative: 8243.3389, val acc: 1.0000, all_100_24046224.0_1.0_0.0
[2025-10-21 22:16:12] [20251021221123] Epoch: 25, train loss positive: 169.3012, train loss negative: 4623.2405, val acc: 1.0000, all_100_68121248.0_1.0_0.0
[2025-10-21 22:16:23] [20251021221123] Epoch: 26, train loss positive: 167.5466, train loss negative: 3198.3445, val acc: 1.0000, all_100_179357184.0_1.0_0.0
[2025-10-21 22:16:34] [20251021221123] Epoch: 27, train loss positive: 166.9753, train loss negative: 4961.1690, val acc: 1.0000, all_100_94133656.0_1.0_0.0
[2025-10-21 22:16:46] [20251021221123] Epoch: 28, train loss positive: 166.1511, train loss negative: 3475.1829, val acc: 1.0000, all_100_217190880.0_1.0_0.0
[2025-10-21 22:16:57] [20251021221123] Epoch: 29, train loss positive: 164.8344, train loss negative: 6444.0160, val acc: 1.0000, all_100_67717728.0_1.0_0.0
[2025-10-21 22:17:08] [20251021221123] Epoch: 30, train loss positive: 163.7264, train loss negative: 5092.7068, val acc: 1.0000, all_100_30392128.0_1.0_0.0
[2025-10-21 22:17:19] [20251021221123] Epoch: 31, train loss positive: 162.5961, train loss negative: 5309.8482, val acc: 1.0000, all_100_39990952.0_1.0_0.0
[2025-10-21 22:17:30] [20251021221123] Epoch: 32, train loss positive: 162.2662, train loss negative: 3789.2443, val acc: 1.0000, all_100_14315828.0_1.0_0.0
[2025-10-21 22:17:40] [20251021221123] Epoch: 33, train loss positive: 160.9294, train loss negative: 6728.5244, val acc: 1.0000, all_100_12279143.0_1.0_0.0
[2025-10-21 22:17:51] [20251021221123] Epoch: 34, train loss positive: 159.9078, train loss negative: 2575.0651, val acc: 1.0000, all_100_24025148.0_1.0_0.0
[2025-10-21 22:18:01] [20251021221123] Epoch: 35, train loss positive: 160.6120, train loss negative: 2588.3815, val acc: 1.0000, all_100_24706652.0_1.0_0.0
[2025-10-21 22:18:12] [20251021221123] Epoch: 36, train loss positive: 160.1278, train loss negative: 6389.9589, val acc: 1.0000, all_100_36338900.0_1.0_0.0
[2025-10-21 22:18:24] [20251021221123] Epoch: 37, train loss positive: 159.4724, train loss negative: 2340.5874, val acc: 1.0000, all_100_20563266.0_1.0_0.0
[2025-10-21 22:18:34] [20251021221123] Epoch: 38, train loss positive: 160.4018, train loss negative: 4752.6149, val acc: 1.0000, all_100_19033898.0_1.0_0.0
[2025-10-21 22:18:45] [20251021221123] Epoch: 39, train loss positive: 158.2550, train loss negative: 4378.1311, val acc: 1.0000, all_100_223937680.0_1.0_0.0
[2025-10-21 22:18:55] [20251021221123] Epoch: 40, train loss positive: 158.9358, train loss negative: 3124.9661, val acc: 1.0000, all_100_69809784.0_1.0_0.0
[2025-10-21 22:19:06] [20251021221123] Epoch: 41, train loss positive: 157.7248, train loss negative: 7831.3963, val acc: 1.0000, all_100_25817048.0_1.0_0.0
[2025-10-21 22:19:17] [20251021221123] Epoch: 42, train loss positive: 156.4453, train loss negative: 10897.0940, val acc: 1.0000, all_100_15486103.0_1.0_0.0
[2025-10-21 22:19:28] [20251021221123] Epoch: 43, train loss positive: 155.3724, train loss negative: 3520.3715, val acc: 1.0000, all_100_31128288.0_1.0_0.0
[2025-10-21 22:19:38] [20251021221123] Epoch: 44, train loss positive: 157.2576, train loss negative: 5243.7964, val acc: 1.0000, all_100_33903812.0_1.0_0.0
[2025-10-21 22:19:49] [20251021221123] Epoch: 45, train loss positive: 156.0248, train loss negative: 2993.3896, val acc: 1.0000, all_100_26537384.0_1.0_0.0
[2025-10-21 22:20:00] [20251021221123] Epoch: 46, train loss positive: 155.2905, train loss negative: 2176.0935, val acc: 1.0000, all_100_32650346.0_1.0_0.0
[2025-10-21 22:20:11] [20251021221123] Epoch: 47, train loss positive: 155.2387, train loss negative: 2742.6238, val acc: 1.0000, all_100_16558242.0_1.0_0.0
[2025-10-21 22:20:23] [20251021221123] Epoch: 48, train loss positive: 156.9197, train loss negative: 4560.6062, val acc: 1.0000, all_100_83776472.0_1.0_0.0
[2025-10-21 22:20:34] [20251021221123] Epoch: 49, train loss positive: 155.8191, train loss negative: 2166.9793, val acc: 1.0000, all_100_85234136.0_1.0_0.0
[2025-10-21 22:20:45] [20251021221123] Epoch: 50, train loss positive: 155.2012, train loss negative: 3353.6744, val acc: 1.0000, all_100_18435322.0_1.0_0.0
[2025-10-21 22:20:55] [20251021221123] Epoch: 51, train loss positive: 155.2454, train loss negative: 2368.5325, val acc: 1.0000, all_100_16371023.0_1.0_0.0
[2025-10-21 22:21:06] [20251021221123] Epoch: 52, train loss positive: 154.4101, train loss negative: 2204.5546, val acc: 1.0000, all_100_39821048.0_1.0_0.0
[2025-10-21 22:21:17] [20251021221123] Epoch: 53, train loss positive: 154.1170, train loss negative: 5855.5575, val acc: 1.0000, all_100_32703146.0_1.0_0.0
[2025-10-21 22:21:28] [20251021221123] Epoch: 54, train loss positive: 154.3023, train loss negative: 2603.2836, val acc: 1.0000, all_100_31273848.0_1.0_0.0
[2025-10-21 22:21:38] [20251021221123] Epoch: 55, train loss positive: 153.2763, train loss negative: 1930.4070, val acc: 1.0000, all_100_9453077.0_1.0_0.0
[2025-10-21 22:21:49] [20251021221123] Epoch: 56, train loss positive: 154.4039, train loss negative: 2651.0041, val acc: 1.0000, all_100_41462340.0_1.0_0.0
[2025-10-21 22:22:00] [20251021221123] Epoch: 57, train loss positive: 152.5435, train loss negative: 4110.2515, val acc: 1.0000, all_100_7104208.0_1.0_0.0
[2025-10-21 22:22:11] [20251021221123] Epoch: 58, train loss positive: 153.0424, train loss negative: 4809.7249, val acc: 1.0000, all_100_12669557.0_1.0_0.0
